position,source_kind,video_id,title,url,duration_seconds,duration
16,short,L4_VKuEsWks,Полезные аддоны для Blender #blender #addons,https://www.youtube.com/watch?v=L4_VKuEsWks,0.0,00:00
17,short,-oZF9047MKc,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=-oZF9047MKc,0.0,00:00
18,short,xBnnxgo-ReY,Анимация в BLENDER | Фатальные ошибки #blender,https://www.youtube.com/watch?v=xBnnxgo-ReY,0.0,00:00
19,short,5ZwdROOkjic,Водичка в BLENDER | Фатальные ошибки #blender,https://www.youtube.com/watch?v=5ZwdROOkjic,0.0,00:00
20,short,3yq_bTq4p4Y,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=3yq_bTq4p4Y,0.0,00:00
21,short,cZTJP6RwktQ,Упрощаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=cZTJP6RwktQ,0.0,00:00
22,short,9ZZlE9k9BW0,Ломаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=9ZZlE9k9BW0,0.0,00:00
23,short,_l0tOEl8AAs,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=_l0tOEl8AAs,0.0,00:00
24,short,A1jMRP_y0OY,Лайфхак для BLENDER | Деформация подошвы #blender,https://www.youtube.com/watch?v=A1jMRP_y0OY,0.0,00:00
25,short,m2_5HekCcT8,Шаловливые пальчики в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=m2_5HekCcT8,0.0,00:00
26,short,E5gKtNYWg0s,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=E5gKtNYWg0s,0.0,00:00
27,short,nMHUAoneJ-w,Обновление в BLENDER 5.1 #blender,https://www.youtube.com/watch?v=nMHUAoneJ-w,0.0,00:00
28,short,vmAaWmfu1tc,Ломаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=vmAaWmfu1tc,0.0,00:00
29,short,pZ_q2HdI3xs,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=pZ_q2HdI3xs,0.0,00:00
30,short,9zljFrgtJ8k,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=9zljFrgtJ8k,0.0,00:00
31,short,IcRZnc4QOW4,Ломаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=IcRZnc4QOW4,0.0,00:00
32,short,buI97T9QsZw,Управляю рулем в BLENDER #blender,https://www.youtube.com/watch?v=buI97T9QsZw,0.0,00:00
33,short,i-Aa5AHbex8,Упрощаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=i-Aa5AHbex8,0.0,00:00
34,short,FtLu69K30pI,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=FtLu69K30pI,0.0,00:00
35,short,VwlDeEt0wdE,Forza Horizon в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=VwlDeEt0wdE,0.0,00:00
36,short,z9FU3UQWEdY,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=z9FU3UQWEdY,0.0,00:00
37,short,v028VSznhb4,Ломаю Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=v028VSznhb4,0.0,00:00
38,short,F6Wsf1kfF6I,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=F6Wsf1kfF6I,0.0,00:00
39,short,SVIx7V1VTiw,Подсказки в BLENDER 3D #blender,https://www.youtube.com/watch?v=SVIx7V1VTiw,0.0,00:00
40,short,rWV5lbDiORc,Hornet в BLENDER 3D #blender,https://www.youtube.com/watch?v=rWV5lbDiORc,0.0,00:00
41,short,JcYuvA_oYbA,Космос в Blender | Топ 3 аддонов #blender #addons,https://www.youtube.com/watch?v=JcYuvA_oYbA,0.0,00:00
42,short,v7lyGNGD9m0,Автоматический риг в BLENDER #blender,https://www.youtube.com/watch?v=v7lyGNGD9m0,0.0,00:00
43,short,ISH_0OfL4mU,Фатальные ошибки новичков в BLENDER #blender,https://www.youtube.com/watch?v=ISH_0OfL4mU,0.0,00:00
